hb0	 She doesn’t have bangs
hc0	 Her hair is blond and it’s not curly
hc0	 Her hair is brown and doesn't have curly
hb0	 She doesn’t have bangs
hb0	 She doesn't have bangs
s0	She is adolescent white girl
hb1	 She has side bangs
hc0	 Her hair is black, and it's straight
hc0	 He has short straight hair, and it's mostly white and sparsely dark brown
hc2	 Her hair is blond, and it’s curly
hc0	 His hair is black, and it’s straight
hb0	 She doesn’t have bangs
s1	He is youth-aged white man
hc0	 Her hair is black, and it’s no curly
s0	She is youth white girl
hc0	 She has short brown hair, and it's straight
hb2	 He has long bang
s0	She is youth-aged white woman
fs1	 She has no beard, and has a round face
hb0	 She doesn't have bangs
hb2	 She has bangs
fs2	 He has a little of beard and mustache and has square face
fs2	 She has no beard, and has angular face
hb0	 She doesn't have bangs
fs2	 She has no beard, and has angular face
s0	She is old white woman
s0	She is a middle-aged white woman
hb2	 She has long bangs
hb0	 He has smile and doesn’t have bangs
fs0	 He has no beard, and has a long face
hc1	 Her hair is black, and it’s slightly curly
s1	He is middle-aged white man
hb1	 She has bangs
fs1	 She has round face
hb0	 He has grin smile and doesn’t have bangs
fs1	 She has round face
hb0	 She doesn’t have bangs
hb0	 She doesn’t have bangs
s1	He is youth-aged white man
s0	She is youth-aged white woman
hb0	 She doesn’t have bangs
fs1	 He has no beard, and has a round face
s0	She is old white woman
fs1	 She has no beard, and round face
hc2	 His hair is dark brown and short and it’s curly
hb0	 She has no bangs
hc0	 Her hair is black, and it's straight
s0	She is a middle-aged white woman
hb0	 She has smile and doesn’t have bangs
fs2	 He has little beard and mustache, and has angular face
fs1	 She has no bread, and has a round face
s1	He is a children-aged white man
hb0	 She has no bangs
hc2	 His hair is black, and it's curly
s1	He is adolescent-aged Indian man
hc0	 Her hair is black, and it’s straight
hb2	 She has long bang
hc2	 His hair is black and it’s curly
hc0	 She has brown short hair, and it's straight
s1	He is youth-aged white man
s0	She is a middle-aged white woman
fs0	 She has round face
s0	She is middle-aged White woman
hb0	 She doesn't have bangs
hb0	 He doesn't have bangs
s0	She is middle-aged white woman
s0	She is a white girl
fs2	 She has no beard, and has angular face
s1	He is middle-aged white man
fs0	 He has no beard, and has a round and long face
s1	He is a white old man
hc0	 Her hair is black, and it's straight and short
hb0	 She doesn't have bangs
hb1	 He has short bangs
fs1	 He has beard, mustache, and has a round face
hb0	 He has no bangs
fs1	 She has no beard, and has a round face
hc1	 Her hair is dark brown, and it's slightly curly and long
fs0	 She has no beard, and has long face
s0	He is a middle-aged white man
fs1	 She has round face
hb0	 She has no bangs
fs0	 He has little beard, and has a long face
hc0	 Her hair is dark brown and doesn't have curly
hc2	 She has short black hair, and it's very curly
fs1	 She has no beard, and has a round face
s1	He is youth-aged white man
fs0	 She has no bread, and has a round face
fs2	 He has no beard, and has an angled face
hb0	 She doesn’t have bangs
s0	She is middle-aged white woman
hc2	 Her hair is brown, and it’s curly
fs0	 He has long face
hb0	 She doesn’t have bangs
hc1	 Her hair is light brown, and it's slightly curly
s0	She is youth-aged white woman
s0	She is a youth-aged Indian woman
fs2	 She has no beard, and angular face
hc1	 He has light grayish brown short hair, and it's slightly curly
hc0	 His hair is black and brown and it’s not curly
hb1	 He has bang
hc0	 His hair is blond, and doesn't have curly
s0	She is middle-aged White woman
hb1	 She has bangs
fs0	 He has long face
hb0	 He doesn't have bangs
fs1	 He has round face
hb0	 She has smile and doesn’t have bangs
hb0	 She doesn't have bangs
hc0	 Her hair is black, and it's straight
s0	She is a middle-aged white woman
hb0	 Obviously, he doesn't have bangs
fs0	 She has no beard, and has a round face
s1	He is youth-aged white man
s1	He is a white young man
hc1	 Her hair is light brown, and it's short and slightly curly
fs1	 She has no beard, and has a round face
hc0	 He has gray short hair, and it's straight
fs2	 She has no beard, and has a square-shaped face
hb0	 She doesn’t have bangs
hc2	 Her hair is brown and it’s curly
s1	He is a white young man
hb0	 He doesn't have bangs
fs1	 She has no beard, and has a round face
s0	She is a youth-aged indian woman
fs1	 She has no beard, and has a round face
fs1	 She has no beard, and has a round face
hb1	 She has side bangs
hc0	 Her hair is dark brown, and it's straight and short
fs1	 She has no beard, and has round face
hb0	 She doesn't have bangs
