s0	She is adolescent white girl
hb0	 She doesn’t have bangs
s0	She is a middle-aged white woman
fs0	 She has no beard and has long face
fs0	 She has long face
hb1	 He has short bangs
hc0	 His hair is black, and it’s straight
hc0	 His hair is black and doesn't have curly
hc0	 His hair is black, and it’s straight
s0	She is old white woman
fs1	 He has no beard, and has a round face
hc0	 Her hair is dark brown, and doesn't have curly
hc2	 Her hair is brown, and it’s curly
hc2	 Her hair is light brown, and it's curly
hc2	 Her hair is dark brown, and it's curly
hc1	 His hair is brown and it’s slightly curly
fs1	 She has round face
s0	She is an Asian girl
hc0	 She has brown long hair, and it's straight
s0	She is youth-aged white woman
s0	She is youth-aged white woman
s0	She is adolescent White girl
hc2	 His hair is light brown, and it’s curly
fs3	 She has no beard, and has inverted triangle face
hb2	 He has long bangs
fs2	 He has no beard, and has angular face
fs0	 He has long face
fs3	 She has inverted triangle face
hc1	 Her hair is light brown, and it's slightly curly
s0	She is youth white woman
s1	He is a youth-aged Indian man
s1	He is adolescent-aged Indian man
s1	He is a white young man
fs1	 She has no beard, and has a round face
hb0	 She has smile and doesn’t have bangs
hb1	 She has grin smile and has little bangs
fs1	 She has no beard, and has a round face
hc2	 His hair is light brown, and it's curly
hb0	 She doesn’t have bangs
fs2	 He has squared face
s0	She is a middle-aged white woman
fs1	 She has no beard, and round face
s0	She is youth-aged white woman
hc0	 His hair is blond and it’s not curly
hc2	 His hair is black, and it's curly
hl1	 He has short hair
hc1	 His hair is dark brown, and it's slightly curly
hc2	 Her hair is light brown, and it's curly
hc2	 She has short black hair, and it's very curly
hc0	 His hair is brown and doesn't have curly
fs1	 She has no beard, and has a round face
s0	She is adolescent White woman
hl1	 She has light grayish brown hair, and it's short and straight
fs1	 She has no beard, and has round face
s0	She is a middle-aged white woman
s1	He is middle-aged white man
fs1	 He has no bread, and has a round face
hc1	 He has light grayish brown short hair, and it's slightly curly
fs1	 She has no bread, and has a round face
fs0	 He has no beard, and has a round and long face
hl3	 She has long black hair, and it's straight
hl3	 Her hair is dark brown, and it's straight and long
fs1	 He has round face
fs2	 He has no beard, and has an angled face
s1	He is youth white man
s1	He is a middle-aged white man
hb1	 She has bangs
hc0	 Her hair is blond and doesn't have curly
hb0	 He has no bangs
fs0	 He has little beard and mustache, and has long face
s1	He is youth white man
s1	He is a white young man
hc0	 Her hair is blond and doesn't have curly
s0	She is a youth-aged white woman
fs1	 She has round face
hb0	 She doesn’t have bangs
hb0	 He doesn’t have bangs
s0	She is a white young woman
hc0	 His hair is gray and white and it’s not curly
fs0	 He has little beard, and has a long face
fs0	 She has no beard, and has long face
hc1	 Her hair is black, and it’s slightly curly
s0	She is an Asian young woman
fs2	 He has an angled face
hc0	 Her hair is light brown, and it’s straight
hc1	 He has grayish brown hair, and it's slightly curly
s0	She is old white woman
fs3	 He has no beard, and has inverted triangle face
s0	She is youth-aged white woman
fs2	 She has no beard, and has angular face
fs0	 She has no beard, and has long face
hb1	 She has short bangs
s0	She is youth-aged Indian woman
fs1	 She has no beard, and has a round face
s1	He is a middle-aged white man
hb0	 She doesn't have bangs
hb0	 He has no bangs
hb0	 She has no bangs
fs1	 She has no beard, and has a round face
fs1	 He has no beard, and has a round face
hb1	 She has bangs
hb0	 She doesn't have bangs
hc0	 He has grayish, light brown straight hair
fs0	 He has no beard, and long face
hc1	 His hair is light brown, and it's slightly curly
hc0	 Her hair is black and it’s not curly
hc2	 His hair is dark brown and short and it’s curly
hb0	 She doesn’t have bangs
hl2	 His hair is dark brown and short and it’s curly
s0	She is a youth-aged Indian woman
hb0	 He doesn’t have bangs
hb1	 She has side bangs
s0	She is youth-aged white woman
fs1	 She has no bread, and has a round face
s1	He is a youth-aged white man
hc2	 Her hair is black and it’s curly
s0	She is a white little girl
s0	She is a white young woman
fs1	 He has no beard, and has a round face
s1	He is old white man
hb2	 She has long bangs
s0	She is middle-aged white woman
fs0	 He has little beard and mustache, and has long face
hc0	 Her hair is blond, and doesn't have curly
hc0	 His hair is black, and it's straight
fs0	 He has long face
hl3	 Her hair is dark brown, and it's slightly curly and long
fs1	 She has long face 
fs3	 She has no beard, and has inverted triangle face
s0	She is a middle-aged white woman
