filename	description	h_length	h_bang	h_curl	e_shape	f_shape	sex	nose	e_size	m_size
150.png	"She is a middle-aged white woman. Her hair is brown, and it's long and slightly curly. She doesn't have bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. She has double eyelids and thin eyebrows. She has black eyes. She doesn't wear glasses. Her head direction is toward the right."	3.0	0.0	1.0	2.0	1.0	0.0	0.0	29.0	33
151.png	"He is a middle-aged Asian man. His hair is black, and it's curly. He doesn't have bangs. He is grinning. He has no bread, and has a round face. He has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. He has double eyelids and thick eyebrows. His eyes are black. He doesn't wear glasses. His head direction is toward the right."	2.0	0.0	2.0	2.0	1.0	1.0	0.0	24.5	40
152.png	"He is a middle-aged white man. He has grayish, light brown straight hair. He doesn't have bangs. He is smiling. He has no beard, and has a long face. He has wrinkles around the eyes, smile lines and forehead. He has double eyelids and thick eyebrows. He has gray eyes. He wears black and square horn-rimmed glasses. His head is facing the front."	1.0	0.0	0.0	3.0	0.0	1.0	0.0	23.0	28
153.png	"He is a white young man. His hair is brown, and it's curly. He doesn't have bangs. He is grinning. He has no beard, and has a round face. He has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. He has double eyelids and thick eyebrows. He has blue eyes. He doesn't wear glasses. His head is facing the front."	1.0	0.0	2.0	2.0	1.0	1.0	0.0	28.75	39
154.png	"He is a middle-aged white man. He has grayish brown hair, and it's slightly curly. He doesn't have bangs. He is not smiling. He has no beard, and has a round face. He has wrinkles around the eyes, smile lines and forehead. He has double eyelids and thick eyebrows. He has brown eyes. He doesn't wear glasses. His head direction is toward the left."	1.0	0.0	1.0	2.0	1.0	1.0	0.0	34.5	31
155.png	"He is a middle-aged Asian man. He has grayish, black hair, and it's slightly curly. He doesn't have bangs. He is smiling. He has no beard, and has a round face. He has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. He has double eyelids and thick eyebrows. he has black eyes. He wears square silver-rimmed glasses. His head direction is toward the right."	1.0	0.0	1.0	3.0	1.0	1.0	0.0	21.25	43
156.png	"She is a white young woman. She has brown straight long hair. She doesn't have bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. She has double eyelids and thin eyebrows. She has gray eyes. She doesn't wear glasses. Her head direction is toward the left."	3.0	0.0	0.0	2.0	1.0	0.0	0.0	27.5	36
157.png	"She is an Asian young woman. She has brown straight long hair. She doesn't have bangs. She is grinning. She has no beard, and has a round face. She has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. She has double eyelids and thin eyebrows. She has brown eyes. She doesn't wear glasses. Her head direction is toward the right."	3.0	0.0	0.0	2.0	1.0	0.0	0.0	29.5	39
158.png	"He is a middle-aged white man with copper-colored skin. He has black hair, and it's slightly curly. He doesn't have bangs. He is not smiling. He has very short beard, and has a round face. He has wrinkles around the eyes, smile lines and forehead. He has double eyelids and thick eyebrows. He has brown eyes. He doesn't wear glasses. His head direction is slightly toward the right."	1.0	0.0	1.0	1.0	1.0	1.0	0.0	29.75	34
159.png	"He is a white young man. His hair is dark brown, and it's slightly curly. He doesn't have bangs. He is grinning. He has no beard, and has a round face. He has wrinkles around the eyes and smile lines, but has no wrinkles on the forehead. He has double eyelids and thick eyebrows. He has brown eyes. He doesn't wear glasses. His head is facing the front."	1.0	0.0	1.0	2.0	1.0	1.0	0.0	29.25	39
